year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022,1,SSG,144,88,52,4,0.629,0.0,4승0무6패,4패,49-0-23,39-4-29
2022,2,키움,144,80,62,2,0.563,9.0,5승0무5패,1승,39-1-32,41-1-30
2022,3,LG,144,87,55,2,0.613,2.0,4승0무6패,1승,38-1-33,49-1-22
2022,4,KT,144,80,62,2,0.563,9.0,7승0무3패,1패,40-1-31,40-1-31
2022,5,KIA,144,70,73,1,0.49,19.5,7승0무3패,1패,31-0-41,39-1-32
2022,6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40
2022,7,삼성,144,66,76,2,0.465,23.0,6승0무4패,2승,33-2-37,33-0-39
2022,8,롯데,144,64,76,4,0.457,24.0,5승0무5패,1승,27-3-42,37-1-34
2022,9,두산,144,60,82,2,0.423,29.0,4승0무6패,2패,29-1-42,31-1-40
2022,10,한화,144,46,96,2,0.324,43.0,3승0무7패,1패,28-0-44,18-2-52
2023,1,LG,144,86,56,2,0.606,0.0,5승0무5패,1승,45-1-25,41-1-31
2023,2,KT,144,79,62,3,0.56,6.5,6승0무4패,3승,41-2-30,38-1-32
2023,3,SSG,144,76,65,3,0.539,9.5,8승0무2패,2승,39-2-32,37-1-33
2023,4,NC,144,75,67,2,0.528,11.0,5승0무5패,2패,41-1-29,34-1-38
2023,5,두산,144,74,68,2,0.521,12.0,4승0무6패,3패,37-1-35,37-1-33
2023,6,KIA,144,73,69,2,0.514,13.0,7승0무3패,2승,38-2-31,35-0-38
2023,7,롯데,144,68,76,0,0.472,19.0,4승0무6패,1승,38-0-35,30-0-41
2023,8,삼성,144,61,82,1,0.427,25.5,4승0무6패,1패,32-0-39,29-1-43
2023,9,한화,144,58,80,6,0.42,26.0,3승0무7패,1패,32-1-40,26-5-40
2023,10,키움,144,58,83,3,0.411,27.5,5승0무5패,2패,33-2-36,25-1-47
2024,1,KIA,144,87,55,2,0.613,0.0,5승0무5패,2승,42-1-30,45-1-25
2024,2,삼성,144,78,64,2,0.549,9.0,3승0무7패,1패,41-0-32,37-2-32
2024,3,LG,144,76,66,2,0.535,11.0,7승0무3패,2승,39-1-33,37-1-33
2024,4,두산,144,74,68,2,0.521,13.0,8승0무2패,4승,39-1-31,35-1-37
2024,5,KT,144,72,70,2,0.507,15.0,5승0무5패,3승,34-1-36,38-1-34
2024,6,SSG,144,72,70,2,0.507,15.0,8승0무2패,4승,35-1-35,37-1-35
2024,7,롯데,144,66,74,4,0.471,20.0,4승0무6패,1승,37-3-31,29-1-43
2024,8,한화,144,66,76,2,0.465,21.0,5승0무5패,2패,30-2-39,36-0-37
2024,9,NC,144,61,81,2,0.43,26.0,2승0무8패,2패,34-0-39,27-2-42
2024,10,키움,144,58,86,0,0.403,30.0,1승0무9패,5패,32-0-41,26-0-45
2025,1,LG,144,85,56,3,0.603,0.0,4승0무6패,3패,41-1-29,44-2-27
2025,2,한화,144,83,57,4,0.593,1.5,5승1무4패,1패,44-2-27,39-2-30
2025,3,SSG,144,75,65,4,0.536,9.5,6승0무4패,2패,38-4-31,37-0-34
2025,4,삼성,144,74,68,2,0.521,11.5,7승0무3패,1패,41-0-30,33-2-38
2025,5,NC,144,71,67,6,0.514,12.5,9승0무1패,9승,36-1-34,35-5-33
2025,6,KT,144,71,68,5,0.511,13.0,5승1무4패,1승,36-2-35,35-3-33
2025,7,롯데,144,66,72,6,0.478,17.5,2승0무8패,3패,35-4-34,31-2-38
2025,8,KIA,144,65,75,4,0.464,19.5,4승0무6패,2승,35-2-34,30-2-41
2025,9,두산,144,61,77,6,0.442,22.5,5승0무5패,2승,29-4-40,32-2-37
2025,10,키움,144,47,93,4,0.336,37.5,3승0무7패,5패,23-2-46,24-2-47
